Order ID,Order Date,Ship Date,Customer Segment,Region,State,Category,Sub-Category,Quantity,Sales,Discount,Discounted Sales,Shipping Cost,Profit,Net Profitability
ORD-1000,4/4/2024,4/9/2024,Consumer,North,Wisconsin,Office Supplies,Pens & Art,11,6560.67,0.1,5904.6,4.57,825.27,13.98%
ORD-1001,8/18/2022,8/21/2022,Consumer,North,Wisconsin,Technology,Phones,4,2308.30,0.15,1962.06,19.47,-241.29,-12.30%
ORD-1002,10/9/2023,10/11/2023,Home Office,West,Washington,Furniture,Chairs,3,552.06,0.2,441.65,39.3,-60.37,-13.67%
ORD-1003,4/24/2022,4/28/2022,Consumer,West,Nevada,Furniture,Bookcases,8,3487.51,0.05,3313.13,31.72,255.53,7.71%
ORD-1004,1/25/2022,1/27/2022,Corporate,Central,Ohio,Office Supplies,Paper,5,3941.99,0.2,3153.59,5.18,-695.34,-22.05%
ORD-1005,6/22/2022,6/28/2022,Corporate,West,Washington,Furniture,Bookcases,5,2829.64,0.15,2405.19,48.45,-158.85,-6.60%
ORD-1006,7/21/2023,7/23/2023,Home Office,South,Florida,Office Supplies,Paper,12,5426.47,0.15,4612.5,5.56,-693.54,-15.04%
ORD-1007,1/23/2024,1/30/2024,Consumer,South,Georgia,Furniture,Tables,6,1091.47,0.45,600.31,41.03,-426.52,-71.05%
ORD-1008,11/9/2024,11/12/2024,Consumer,West,Washington,Furniture,Desks,12,5686.80,0.2,4549.44,41.14,-922.23,-20.27%
ORD-1009,11/21/2022,11/26/2022,Home Office,South,Texas,Furniture,Chairs,3,1910.35,0.05,1814.83,46.93,167.40,9.22%
ORD-1010,12/22/2022,12/29/2022,Home Office,West,Oregon,Furniture,Storage,12,1259.08,0.1,1133.17,51.48,-26.78,-2.36%
ORD-1011,7/24/2024,7/26/2024,Consumer,East,Pennsylvania,Furniture,Tables,5,3889.66,0.35,2528.28,44.33,-1403.85,-55.53%
ORD-1012,3/18/2022,3/23/2022,Home Office,East,Pennsylvania,Office Supplies,Labels,13,9608.44,0,9608.44,6.72,2880.52,29.98%
ORD-1013,1/3/2024,1/9/2024,Consumer,North,Wisconsin,Furniture,Bookcases,2,1179.09,0.2,943.27,31.43,-132.05,-14.00%
ORD-1014,3/28/2024,4/4/2024,Consumer,South,Louisiana,Office Supplies,Envelopes,10,3471.63,0,3471.63,8.1,691.90,19.93%
ORD-1015,7/15/2024,7/21/2024,Home Office,South,Georgia,Furniture,Tables,2,419.21,0.3,293.45,39.34,-152.66,-52.02%
ORD-1016,2/2/2024,2/4/2024,Consumer,Central,Ohio,Office Supplies,Paper,4,271.64,0,271.64,7.81,13.96,5.14%
ORD-1017,8/19/2024,8/22/2024,Consumer,Central,Indiana,Furniture,Tables,10,3860.47,0.45,2123.26,53.14,-1480.99,-69.75%
ORD-1018,7/28/2023,7/30/2023,Consumer,North,Michigan,Office Supplies,Envelopes,12,690.29,0.15,586.75,8.33,-8.37,-1.43%
ORD-1019,4/18/2022,4/21/2022,Corporate,North,Minnesota,Office Supplies,Pens & Art,8,1000.34,0,1000.34,5.37,278.48,27.84%
ORD-1020,10/27/2024,10/30/2024,Corporate,North,Minnesota,Office Supplies,Binders,1,775.66,0.2,620.53,7.76,-20.94,-3.37%
ORD-1021,12/13/2022,12/18/2022,Corporate,West,Arizona,Furniture,Desks,1,788.47,0.4,473.08,56.64,-244.07,-51.59%
ORD-1022,3/7/2023,3/11/2023,Corporate,East,Massachusetts,Office Supplies,Labels,1,469.66,0.1,422.69,4.46,66.29,15.68%
ORD-1023,12/6/2024,12/8/2024,Consumer,North,Illinois,Office Supplies,Envelopes,1,769.21,0,769.21,7.78,151.51,19.70%
ORD-1024,2/8/2024,2/15/2024,Consumer,Central,Kansas,Office Supplies,Paper,10,4816.98,0.1,4335.28,4.54,-348.18,-8.03%
ORD-1025,3/11/2024,3/15/2024,Home Office,Central,Missouri,Office Supplies,Pens & Art,4,894.03,0,894.03,7.02,248.22,27.76%
ORD-1026,9/4/2024,9/8/2024,Corporate,West,Arizona,Technology,Laptops,2,874.09,0.1,786.68,15.94,-20.52,-2.61%
ORD-1027,7/23/2024,7/25/2024,Home Office,North,Wisconsin,Furniture,Bookcases,5,2475.84,0.2,1980.67,48.63,-272.08,-13.74%
ORD-1028,4/24/2022,5/1/2022,Corporate,Central,Indiana,Office Supplies,Binders,9,1233.24,0,1233.24,6.74,306.29,24.84%
ORD-1029,8/3/2022,8/7/2022,Consumer,East,Connecticut,Office Supplies,Pens & Art,11,3822.58,0,3822.58,4.39,1069.01,27.97%
ORD-1030,8/18/2023,8/22/2023,Home Office,South,Alabama,Furniture,Desks,1,102.82,0.35,66.83,45.44,-41.03,-61.39%
ORD-1031,1/26/2023,1/29/2023,Home Office,Central,Indiana,Technology,Monitors,14,648.44,0,648.44,15.25,60.27,9.29%
ORD-1032,11/28/2022,12/3/2022,Corporate,North,Illinois,Office Supplies,Envelopes,3,2343.97,0.2,1875.18,4.94,-151.50,-8.08%
ORD-1033,11/26/2024,12/1/2024,Consumer,North,North Dakota,Office Supplies,Pens & Art,4,897.77,0.2,718.22,7.15,-2.14,-0.30%
ORD-1034,5/8/2022,5/10/2022,Corporate,North,North Dakota,Technology,Phones,1,533.13,0.05,506.47,16.74,5.11,1.01%
ORD-1035,10/11/2024,10/15/2024,Corporate,East,Massachusetts,Office Supplies,Labels,1,105.54,0,105.54,4.95,30.18,28.60%
ORD-1036,10/14/2023,10/20/2023,Consumer,North,Michigan,Office Supplies,Envelopes,10,7876.25,0,7876.25,5.82,1573.50,19.98%
ORD-1037,8/22/2024,8/26/2024,Corporate,South,Texas,Technology,Monitors,12,9037.28,0.15,7681.69,21.05,-851.30,-11.08%
